feature,mean_importance
month_dt_DayOfYear,-5.8465761233071624e-05
month_dt_Month,-5.560860274744367e-05
month_dt_WeekDay,-5.2603659181901796e-05
month_dt_Year,0.002745201061291734
storey_range,0.05039331896551323
flat_model,0.0515428237656995
lease_left,0.0529705606039769
month_dt_Days_Diff_To_Min,0.17438996557329411
flat_type,0.2800069969990605
lease_commence_date,0.31126356758791524
floor_area_sqm,0.5248214119581014
town,0.5946868087826539
