feature,shap_importance
floor_area_sqm,0.40278093222453903
month_dt_Days_Diff_To_Min,0.15105350212201324
lease_commence_date,0.13763909589859552
flat_type,0.09990123899208855
storey_range,0.04600451235208583
month_dt_Year,0.02431129119992085
lease_left,0.00922523442199852
town,0.008507941864374344
flat_model,0.0020432847722937114
month_dt_Month,0.0
month_dt_WeekDay,0.0
month_dt_DayOfYear,0.0
